# t theta1 omega1 theta2 omega2 KE1 PE1 KE2 PE2 E_Total
1.14000000 -0.25332338 0.21395870 0.06718850 -0.22941941 0.02288916 0.31308757 0.02631663 0.02213429 0.79533910
1.15000000 -0.25110191 0.23033814 0.06482105 -0.24399341 0.02652783 0.30764929 0.02976639 0.02060246 0.78377524
1.16000000 -0.24871655 0.24673838 0.06231023 -0.25808890 0.03043991 0.30186199 0.03330494 0.01903782 0.77159527
1.17000000 -0.24616709 0.26315515 0.05966095 -0.27168060 0.03462532 0.29573639 0.03690517 0.01745382 0.75884386
1.18000000 -0.24345340 0.27958318 0.05687837 -0.28474467 0.03908338 0.28928414 0.04053976 0.01586413 0.74556812
1.19000000 -0.24057541 0.29601610 0.05396789 -0.29725881 0.04381277 0.28251782 0.04418140 0.01428251 0.73181752
1.20000000 -0.23753309 0.31244650 0.05093510 -0.30920232 0.04881141 0.27545097 0.04780304 0.01272270 0.71764371
1.21000000 -0.23432652 0.32886582 0.04778581 -0.32055610 0.05407636 0.26809811 0.05137811 0.01119836 0.70310039
1.22000000 -0.23095584 0.34526438 0.04452600 -0.33130279 0.05960375 0.26047473 0.05488077 0.00972287 0.68824311
1.23000000 -0.22742133 0.36163135 0.04116183 -0.34142673 0.06538862 0.25259734 0.05828611 0.00830935 0.67312908
1.24000000 -0.22372336 0.37795471 0.03769959 -0.35091404 0.07142488 0.24448346 0.06157033 0.00697045 0.65781696
1.25000000 -0.21986243 0.39422132 0.03414571 -0.35975263 0.07770522 0.23615159 0.06471098 0.00571833 0.64236666
1.26000000 -0.21583917 0.41041683 0.03050673 -0.36793223 0.08422099 0.22762128 0.06768706 0.00456454 0.62683909
1.27000000 -0.21165438 0.42652576 0.02678929 -0.37544443 0.09096211 0.21891305 0.07047926 0.00351994 0.61129590
1.28000000 -0.20730900 0.44253147 0.02300009 -0.38228264 0.09791705 0.21004840 0.07307001 0.00259465 0.59579923
1.29000000 -0.20280415 0.45841620 0.01914590 -0.38844215 0.10507271 0.20104981 0.07544365 0.00179795 0.58041142
1.30000000 -0.19814114 0.47416109 0.01523352 -0.39392008 0.11241437 0.19194067 0.07758651 0.00113823 0.56519478
1.31000000 -0.19332146 0.48974620 0.01126978 -0.39871541 0.11992567 0.18274528 0.07948699 0.00062297 0.55021121
1.32000000 -0.18834682 0.50515057 0.00726149 -0.40282895 0.12758855 0.17348876 0.08113558 0.00025864 0.53552197
1.33000000 -0.18321913 0.52035225 0.00321546 -0.40626329 0.13538323 0.16419706 0.08252493 0.00005071 0.52118737
1.34000000 -0.17794053 0.53532834 -0.00086153 -0.40902283 0.14328822 0.15489683 0.08364984 0.00000364 0.50726642
1.35000000 -0.17251339 0.55005505 -0.00496277 -0.41111370 0.15128028 0.14561540 0.08450724 0.00012081 0.49381657
1.36000000 -0.16694034 0.56450778 -0.00908160 -0.41254375 0.15933452 0.13638065 0.08509617 0.00040454 0.48089340
1.37000000 -0.16122423 0.57866114 -0.01321147 -0.41332246 0.16742436 0.12722098 0.08541773 0.00085612 0.46855030
